GMID,Name,School,Year,PercShotS2P,S2PPer,PercShotl2P,L2PPer,PercL2PLC,PercShot3P,ThreePer,Perc3PLC
22729,Derrick Scott,Winthrop,2011,NA,NA,NA,NA,NA,NA,NA,NA
22730,Rodney Glasgow,Virginia Military,2010,23.08%,50.00%,34.62%,33.33%,16.98%,42.31%,36.36%,9.02%
22730,Rodney Glasgow,Virginia Military,2011,0.00%,NA,27.78%,40.00%,12.82%,72.22%,53.85%,16.88%
22730,Rodney Glasgow,Virginia Military,2012,18.18%,37.50%,45.45%,30.00%,30.30%,36.36%,18.75%,13.01%
22730,Rodney Glasgow,Virginia Military,2013,13.27%,53.85%,46.94%,47.83%,25.84%,39.80%,38.46%,18.31%
22731,Drew Absher,Virginia Military,2010,0.00%,NA,33.33%,100.00%,25.00%,66.67%,100.00%,18.18%
22731,Drew Absher,Virginia Military,2011,0.00%,NA,100.00%,0.00%,33.33%,0.00%,NA,0.00%
22731,Drew Absher,Virginia Military,2012,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,33.33%
22731,Drew Absher,Virginia Military,2013,0.00%,NA,33.33%,0.00%,25.00%,66.67%,100.00%,28.57%
22732,D.J. Covington,Virginia Military,2010,47.37%,44.44%,52.63%,70.00%,14.49%,0.00%,NA,NA
22732,D.J. Covington,Virginia Military,2011,38.46%,60.00%,61.54%,37.50%,19.05%,0.00%,NA,NA
22732,D.J. Covington,Virginia Military,2012,38.00%,63.16%,58.00%,37.93%,17.06%,4.00%,0.00%,28.57%
22732,D.J. Covington,Virginia Military,2013,28.07%,75.00%,71.93%,48.78%,16.47%,0.00%,NA,0.00%
22733,Toles Hartman,UNC Asheville,2010,75.00%,50.00%,25.00%,50.00%,11.76%,0.00%,NA,0.00%
22734,Jon Nwannunu,UNC Asheville,2010,33.33%,100.00%,66.67%,50.00%,11.11%,0.00%,NA,NA
22734,Jon Nwannunu,UNC Asheville,2011,70.00%,42.86%,30.00%,33.33%,21.43%,0.00%,NA,NA
22734,Jon Nwannunu,UNC Asheville,2012,50.00%,58.33%,50.00%,54.17%,35.29%,0.00%,NA,0.00%
22735,Trent Meyer,UNC Asheville,2010,0.00%,NA,38.46%,80.00%,26.32%,61.54%,25.00%,20.51%
22735,Trent Meyer,UNC Asheville,2011,8.33%,100.00%,16.67%,0.00%,25.00%,75.00%,22.22%,30.00%
22735,Trent Meyer,UNC Asheville,2012,12.28%,14.29%,29.82%,29.41%,34.00%,57.89%,21.21%,18.86%
22736,Jay Royster,Gardner-Webb,2010,NA,NA,NA,NA,NA,NA,NA,0.00%
22736,Jay Royster,Gardner-Webb,2011,100.00%,100.00%,0.00%,NA,NA,0.00%,NA,0.00%
22737,Luke Davis,Gardner-Webb,2010,12.50%,42.86%,23.21%,23.08%,34.21%,64.29%,30.56%,29.51%
22737,Luke Davis,North Carolina,2012,0.00%,NA,0.00%,NA,NA,100.00%,100.00%,50.00%
22737,Luke Davis,North Carolina,2013,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,33.33%
22737,Luke Davis,North Carolina,2014,NA,NA,NA,NA,NA,NA,NA,NA
22738,Laron Buggs,Gardner-Webb,2010,24.24%,70.83%,47.47%,27.66%,48.96%,28.28%,17.86%,33.73%
22738,Laron Buggs,Gardner-Webb,2011,33.33%,52.94%,43.14%,31.82%,40.74%,23.53%,25.00%,33.33%
22739,Santoine Butler,Gardner-Webb,2010,33.33%,80.00%,66.67%,50.00%,43.48%,0.00%,NA,NA
22739,Santoine Butler,Gardner-Webb,2011,66.67%,100.00%,33.33%,0.00%,12.50%,0.00%,NA,NA
22740,Michael Byron,Gardner-Webb,2010,75.00%,53.33%,25.00%,20.00%,33.33%,0.00%,NA,NA
22740,Michael Byron,Gardner-Webb,2011,64.29%,77.78%,35.71%,20.00%,23.81%,0.00%,NA,NA
22740,Michael Byron,Gardner-Webb,2012,50.00%,42.86%,50.00%,28.57%,46.67%,0.00%,NA,NA
22740,Michael Byron,Gardner-Webb,2013,72.22%,61.54%,27.78%,0.00%,26.32%,0.00%,NA,NA
22741,Desmond Holloway,Coastal Carolina,2010,19.78%,50.00%,50.55%,45.65%,29.49%,29.67%,29.63%,39.71%
22742,Willie Kirkland,Coastal Carolina,2010,11.11%,100.00%,11.11%,0.00%,25.00%,77.78%,28.57%,43.75%
22742,Willie Kirkland,Coastal Carolina,2011,50.00%,100.00%,50.00%,0.00%,50.00%,0.00%,NA,0.00%
22743,Troy Pierce,Charleston Southern,2010,75.00%,100.00%,25.00%,0.00%,10.00%,0.00%,NA,NA
22744,Sheldon Strickland,Charleston Southern,2010,20.45%,44.44%,31.82%,42.86%,26.42%,47.73%,42.86%,19.09%
22744,Sheldon Strickland,Charleston Southern,2011,16.00%,25.00%,36.00%,22.22%,24.32%,48.00%,50.00%,19.67%
22744,Sheldon Strickland,Charleston Southern,2012,20.00%,80.00%,24.00%,0.00%,17.65%,56.00%,28.57%,22.58%
22744,Sheldon Strickland,Charleston Southern,2013,22.41%,69.23%,29.31%,47.06%,25.00%,48.28%,46.43%,17.72%
22745,Matt Kennedy,Charleston Southern,2010,7.14%,100.00%,42.86%,50.00%,21.43%,50.00%,71.43%,25.93%
22745,Matt Kennedy,Charleston Southern,2011,NA,NA,NA,NA,NA,NA,NA,NA
22745,Matt Kennedy,Charleston Southern,2012,0.00%,NA,37.50%,100.00%,17.65%,62.50%,20.00%,45.45%
22745,Matt Kennedy,Charleston Southern,2013,24.53%,61.54%,47.17%,56.00%,24.04%,28.30%,53.33%,15.31%
22746,Mitchell Deter,Charleston Southern,2010,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,16.67%
22746,Mitchell Deter,Charleston Southern,2011,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,14.29%
22746,Mitchell Deter,Charleston Southern,2012,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,33.33%
22746,Mitchell Deter,Charleston Southern,2013,0.00%,NA,0.00%,NA,NA,100.00%,16.67%,26.09%
22747,Chris Grier,Charleston Southern,2010,22.22%,75.00%,44.44%,62.50%,29.63%,33.33%,16.67%,26.09%
22747,Chris Grier,Charleston Southern,2011,0.00%,NA,33.33%,0.00%,20.00%,66.67%,37.50%,25.00%
22748,Johnathan Brooks,Charleston Southern,2010,18.18%,75.00%,81.82%,33.33%,28.35%,0.00%,NA,0.00%
22750,Thomas Odom,Charleston Southern,2010,NA,NA,NA,NA,NA,NA,NA,0.00%
22750,Thomas Odom,Charleston Southern,2011,0.00%,NA,0.00%,NA,0.00%,100.00%,33.33%,42.86%
22750,Thomas Odom,Charleston Southern,2012,0.00%,NA,100.00%,0.00%,50.00%,0.00%,NA,NA
22750,Thomas Odom,Charleston Southern,2013,0.00%,NA,0.00%,NA,NA,100.00%,50.00%,28.57%
22751,Greg Dorleus,Charleston Southern,2011,100.00%,0.00%,0.00%,NA,0.00%,0.00%,NA,0.00%
22751,Greg Dorleus,Charleston Southern,2012,NA,NA,NA,NA,NA,NA,NA,NA
22751,Greg Dorleus,Charleston Southern,2013,75.00%,66.67%,25.00%,100.00%,25.00%,0.00%,NA,NA
22752,Joshua Clyburn,Presbyterian,2010,31.25%,60.00%,68.75%,36.36%,45.83%,0.00%,NA,NA
22752,Joshua Clyburn,Presbyterian,2011,36.00%,66.67%,64.00%,12.50%,53.33%,0.00%,NA,NA
22752,Joshua Clyburn,Presbyterian,2012,68.85%,54.76%,26.23%,37.50%,25.40%,4.92%,33.33%,100.00%
22753,Tyler Deihl,Presbyterian,2010,0.00%,NA,0.00%,NA,NA,100.00%,16.67%,33.33%
22753,Tyler Deihl,Presbyterian,2011,0.00%,NA,0.00%,NA,0.00%,100.00%,45.45%,42.31%
22754,Xavier Martin,High Point,2010,24.44%,27.27%,42.22%,21.05%,34.55%,33.33%,20.00%,42.86%
22754,Xavier Martin,High Point,2011,32.26%,40.00%,43.55%,25.93%,44.26%,24.19%,13.33%,34.88%
22755,Justin Cheek,High Point,2010,8.33%,0.00%,41.67%,0.00%,21.74%,50.00%,16.67%,19.35%
22755,Justin Cheek,High Point,2011,8.82%,0.00%,41.18%,64.29%,45.16%,50.00%,29.41%,35.42%
22755,Justin Cheek,High Point,2012,8.33%,0.00%,66.67%,12.50%,42.11%,25.00%,0.00%,17.65%
22756,Shay Shine,High Point,2010,11.40%,38.46%,39.47%,28.89%,36.29%,49.12%,41.07%,41.18%
22756,Shay Shine,High Point,2011,19.05%,45.00%,37.14%,43.59%,39.80%,43.81%,43.48%,29.49%
22757,Cameron Solomon,High Point,2010,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,33.33%
22757,Cameron Solomon,Georgia State,2012,43.48%,50.00%,47.83%,18.18%,30.56%,8.70%,50.00%,50.00%
22758,Georges Massoda,High Point,2010,0.00%,NA,100.00%,100.00%,20.00%,0.00%,NA,NA
22759,Du'Vaughn Maxwell,High Point,2010,31.03%,55.56%,68.97%,25.00%,28.17%,0.00%,NA,NA
22759,Du'Vaughn Maxwell,Hampton,2012,51.28%,50.00%,48.72%,47.37%,22.89%,0.00%,NA,0.00%
22759,Du'Vaughn Maxwell,Hampton,2013,33.33%,55.00%,55.00%,45.45%,21.43%,11.67%,28.57%,33.33%
22760,Travis Elliott,High Point,2010,42.11%,37.50%,57.89%,9.09%,32.35%,0.00%,NA,NA
22760,Travis Elliott,High Point,2011,56.67%,41.18%,43.33%,30.77%,36.11%,0.00%,NA,NA
22760,Travis Elliott,Bethune-Cookman,2013,79.49%,45.16%,20.51%,12.50%,34.78%,0.00%,NA,NA
22760,Travis Elliott,Bethune-Cookman,2014,64.71%,63.64%,35.29%,16.67%,27.27%,0.00%,NA,NA
22761,Stephen Baird,Liberty,2011,33.33%,66.67%,33.33%,33.33%,30.00%,33.33%,66.67%,27.27%
22762,Sommy Ogukwe,Liberty,2010,28.57%,50.00%,71.43%,40.00%,45.45%,0.00%,NA,NA
22762,Sommy Ogukwe,Liberty,2012,83.33%,60.00%,16.67%,100.00%,50.00%,0.00%,NA,NA
22762,Sommy Ogukwe,Liberty,2013,100.00%,50.00%,0.00%,NA,0.00%,0.00%,NA,0.00%
22763,Chene Phillips,Liberty,2010,27.27%,16.67%,45.45%,10.00%,40.00%,27.27%,33.33%,42.86%
22763,Chene Phillips,Liberty,2011,30.77%,0.00%,46.15%,66.67%,35.29%,23.08%,0.00%,33.33%
22764,John Caleb Sanders,Liberty,2010,8.51%,25.00%,10.64%,0.00%,45.45%,80.85%,39.47%,38.00%
22764,John Caleb Sanders,Liberty,2011,10.98%,33.33%,20.73%,47.06%,27.87%,68.29%,39.29%,33.33%
22764,John Caleb Sanders,Liberty,2012,40.22%,45.95%,27.17%,28.00%,41.67%,32.61%,30.00%,26.09%
22764,John Caleb Sanders,Liberty,2013,37.63%,37.14%,16.13%,46.67%,34.88%,46.24%,30.23%,38.39%
22765,Asaad Woods,Liberty,2010,50.00%,0.00%,50.00%,0.00%,16.67%,0.00%,NA,NA
22767,Jareal Smith,Radford,2010,0.00%,NA,60.00%,33.33%,21.82%,40.00%,43.75%,21.92%
22767,Jareal Smith,Radford,2011,8.54%,57.14%,29.27%,29.17%,31.58%,62.20%,25.49%,38.35%
22768,Allen Dickerson,Radford,2010,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,7.14%
22768,Allen Dickerson,Radford,2011,NA,NA,NA,NA,0.00%,NA,NA,0.00%
22768,Allen Dickerson,Radford,2012,0.00%,NA,50.00%,0.00%,100.00%,50.00%,0.00%,20.00%
22768,Allen Dickerson,Radford,2013,25.00%,100.00%,8.33%,0.00%,20.00%,66.67%,25.00%,20.51%
22769,Chance Smith,Radford,2011,2.70%,100.00%,35.14%,46.15%,39.39%,62.16%,39.13%,27.06%
22770,Johnathan Edwards,Radford,2010,43.90%,66.67%,56.10%,30.43%,39.66%,0.00%,NA,NA
22770,Johnathan Edwards,Radford,2011,45.71%,43.75%,51.43%,16.67%,28.57%,2.86%,0.00%,25.00%
22771,Martins Abele,Radford,2010,46.15%,50.00%,53.85%,35.71%,37.84%,0.00%,NA,NA
22771,Martins Abele,Duquesne,2011,0.00%,NA,100.00%,0.00%,33.33%,0.00%,NA,NA
22771,Martins Abele,Duquesne,2012,50.00%,62.50%,50.00%,37.50%,47.06%,0.00%,NA,NA
22772,Lukas Winegarner,Radford,2010,19.05%,25.00%,80.95%,29.41%,38.64%,0.00%,NA,NA
22772,Lukas Winegarner,Radford,2011,25.00%,50.00%,75.00%,16.67%,27.27%,0.00%,NA,0.00%
22773,Amaurys Fermin,Cal Poly,2011,16.90%,33.33%,45.07%,40.63%,54.70%,38.03%,31.48%,47.37%
22774,Jamal Johnson,Cal Poly,2010,7.41%,50.00%,22.22%,0.00%,46.15%,70.37%,36.84%,54.29%
22774,Jamal Johnson,Cal Poly,2011,21.88%,28.57%,46.88%,6.67%,57.69%,31.25%,30.00%,32.26%
22774,Jamal Johnson,Cal Poly,2012,32.00%,25.00%,40.00%,30.00%,51.28%,28.00%,28.57%,46.67%
22774,Jamal Johnson,Cal Poly,2013,20.41%,30.00%,38.78%,15.79%,43.18%,40.82%,20.00%,41.67%
22775,Ben Kelly,Cal Poly,2010,NA,NA,NA,NA,0.00%,NA,NA,0.00%
22776,Maliik Love,Cal Poly,2010,32.26%,50.00%,38.71%,33.33%,41.38%,29.03%,55.56%,36.00%
22776,Maliik Love,Cal Poly,2011,35.29%,16.67%,41.18%,28.57%,31.82%,23.53%,25.00%,80.00%
22776,Maliik Love,Cal Poly,2013,55.77%,31.03%,32.69%,52.94%,50.00%,11.54%,50.00%,60.00%
22776,Maliik Love,Cal Poly,2014,52.08%,40.00%,39.58%,31.58%,40.43%,8.33%,50.00%,44.44%
22777,Roger Guardia,Cal State Fullerton,2010,0.00%,NA,33.33%,100.00%,14.29%,66.67%,0.00%,6.45%
22778,Isiah Umipig,Cal State Fullerton,2010,2.86%,0.00%,40.00%,57.14%,25.93%,57.14%,45.00%,19.42%
22778,Isiah Umipig,Cal State Fullerton,2011,8.62%,60.00%,25.86%,40.00%,20.55%,65.52%,39.47%,18.72%
22778,Isiah Umipig,Seattle,2013,11.61%,38.46%,39.29%,38.64%,42.72%,49.11%,45.45%,20.45%
22778,Isiah Umipig,Seattle,2014,7.30%,20.00%,31.39%,32.56%,43.43%,61.31%,35.71%,28.57%
22779,Orlando Brown,Cal State Fullerton,2010,29.41%,80.00%,35.29%,50.00%,14.63%,35.29%,16.67%,17.65%
22779,Orlando Brown,Cal State Fullerton,2011,0.00%,NA,0.00%,NA,0.00%,100.00%,40.00%,26.32%
22780,Perry Webster,Cal State Fullerton,2010,12.50%,60.00%,55.00%,4.55%,27.50%,32.50%,38.46%,17.11%
22780,Perry Webster,Cal State Fullerton,2011,11.11%,33.33%,37.04%,40.00%,50.00%,51.85%,35.71%,25.93%
22782,Sedric Martin,Cal State Fullerton,2010,37.50%,100.00%,62.50%,20.00%,25.00%,0.00%,NA,NA
22782,Sedric Martin,Cal State Fullerton,2011,53.85%,42.86%,46.15%,50.00%,30.00%,0.00%,NA,NA
22783,Chris Collins,Cal State Fullerton,2011,NA,NA,NA,NA,0.00%,NA,NA,NA
22783,Chris Collins,Cal State Fullerton,2012,25.00%,0.00%,62.50%,40.00%,35.71%,12.50%,0.00%,25.00%
22783,Chris Collins,Cal State Fullerton,2013,37.50%,66.67%,58.33%,7.14%,36.84%,4.17%,0.00%,100.00%
22784,Steve Jurich,Cal State Fullerton,2010,0.00%,NA,10.00%,0.00%,10.00%,90.00%,33.33%,36.00%
22785,Corey Jackson,Long Beach State,2010,0.00%,NA,60.00%,66.67%,21.43%,40.00%,50.00%,20.00%
22785,Corey Jackson,Long Beach State,2011,0.00%,NA,50.00%,0.00%,25.00%,50.00%,50.00%,25.00%
22786,Edis Dervisevic,Long Beach State,2010,46.67%,42.86%,33.33%,0.00%,25.00%,20.00%,0.00%,18.75%
22786,Edis Dervisevic,Long Beach State,2011,30.00%,100.00%,60.00%,58.33%,20.69%,10.00%,0.00%,50.00%
22787,Nick Shepherd,Long Beach State,2011,42.86%,66.67%,57.14%,50.00%,28.57%,0.00%,NA,NA
22787,Nick Shepherd,Long Beach State,2012,25.00%,0.00%,75.00%,33.33%,18.75%,0.00%,NA,NA
22787,Nick Shepherd,Long Beach State,2013,0.00%,NA,100.00%,33.33%,33.33%,0.00%,NA,NA
22787,Nick Shepherd,Texas Southern,2014,33.33%,60.00%,66.67%,20.00%,32.26%,0.00%,NA,NA
22788,Chuck Coley,Pacific,2010,0.00%,NA,55.56%,0.00%,35.71%,44.44%,25.00%,40.00%
22789,Marvin Cotton,Pacific,2011,0.00%,NA,100.00%,0.00%,40.00%,0.00%,NA,0.00%
22790,Spencer Llewellyn,Pacific,2011,0.00%,NA,9.09%,0.00%,25.00%,90.91%,50.00%,66.67%
22790,Spencer Llewellyn,Pacific,2012,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,66.67%
22790,Spencer Llewellyn,Pacific,2013,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,14.29%
22792,Khalil Kelley,Pacific,2010,30.00%,66.67%,70.00%,28.57%,58.33%,0.00%,NA,NA
22792,Khalil Kelley,Pacific,2011,50.00%,65.00%,50.00%,35.00%,30.77%,0.00%,NA,0.00%
22792,Khalil Kelley,Pacific,2012,54.55%,50.00%,45.45%,40.00%,27.40%,0.00%,NA,NA
22792,Khalil Kelley,Pacific,2013,29.03%,33.33%,70.97%,27.27%,31.43%,0.00%,NA,NA
22793,Jose Rivera,Pacific,2010,0.00%,NA,2.63%,100.00%,9.09%,97.37%,35.14%,30.83%
22794,Rundell Mauge,Pacific,2011,50.00%,33.33%,50.00%,33.33%,28.57%,0.00%,NA,NA
22795,Mike Kurtz,UC Davis,2010,16.67%,100.00%,8.33%,0.00%,5.26%,75.00%,22.22%,32.14%
22796,Tyler Les,UC Davis,2010,0.00%,NA,7.69%,0.00%,50.00%,92.31%,58.33%,40.00%
22796,Tyler Les,UC Davis,2011,3.95%,100.00%,13.16%,30.00%,34.48%,82.89%,39.68%,31.50%
22796,Tyler Les,UC Davis,2012,0.00%,NA,6.45%,0.00%,28.57%,93.55%,37.93%,31.18%
22796,Tyler Les,UC Davis,2014,0.00%,NA,11.90%,0.00%,55.56%,88.10%,35.14%,27.82%
22797,Josh Ritchart,UC Davis,2010,8.47%,40.00%,35.59%,47.62%,55.26%,55.93%,33.33%,30.56%
22797,Josh Ritchart,UC Davis,2011,12.50%,60.00%,15.00%,50.00%,26.09%,72.50%,29.31%,32.22%
22797,Josh Ritchart,UC Davis,2012,23.64%,84.62%,25.45%,35.71%,37.84%,50.91%,32.14%,28.57%
22797,Josh Ritchart,UC Davis,2013,29.41%,60.00%,35.29%,66.67%,23.08%,35.29%,66.67%,18.75%
22797,Josh Ritchart,UC Davis,2014,18.42%,57.14%,23.68%,44.44%,35.29%,57.89%,38.64%,33.08%
22798,Alex Tiffin,UC Davis,2010,14.29%,100.00%,57.14%,37.50%,36.36%,28.57%,25.00%,30.77%
22798,Alex Tiffin,UC Davis,2011,61.90%,23.08%,38.10%,37.50%,40.00%,0.00%,NA,NA
22798,Alex Tiffin,Sacramento State,2013,51.72%,60.00%,48.28%,35.71%,35.00%,0.00%,NA,0.00%
22798,Alex Tiffin,Sacramento State,2014,58.54%,29.17%,39.02%,43.75%,32.65%,2.44%,0.00%,100.00%
22799,Chris McNealy,UC Irvine,2010,0.00%,NA,55.56%,20.00%,17.05%,44.44%,16.67%,21.82%
22799,Chris McNealy,UC Irvine,2011,13.85%,44.44%,40.00%,34.62%,20.16%,46.15%,53.33%,27.78%
22799,Chris McNealy,UC Irvine,2012,13.89%,80.00%,48.61%,37.14%,23.18%,37.50%,25.93%,30.34%
22799,Chris McNealy,UC Irvine,2013,21.54%,57.14%,43.08%,42.86%,21.05%,35.38%,21.74%,25.27%
22802,Daymond Cowlah,UC Riverside,2010,9.68%,33.33%,54.84%,47.06%,48.57%,35.48%,27.27%,36.67%
22802,Daymond Cowlah,UC Riverside,2011,38.46%,60.00%,11.54%,33.33%,14.29%,50.00%,23.08%,59.09%
22803,Tyquan Brown,UC Riverside,2010,76.47%,46.15%,23.53%,50.00%,30.77%,0.00%,NA,NA
22804,Phil Martin,UC Riverside,2010,21.98%,45.00%,52.75%,43.75%,29.27%,25.27%,34.78%,31.94%
22804,Phil Martin,UC Riverside,2011,12.50%,61.11%,53.47%,24.68%,34.68%,34.03%,38.78%,44.14%
22805,Elliot Berry,UC Riverside,2010,12.20%,60.00%,82.93%,52.94%,26.77%,4.88%,0.00%,13.33%
22805,Elliot Berry,UC Riverside,2011,7.27%,100.00%,76.36%,33.33%,36.52%,16.36%,44.44%,45.00%
22806,Andy Saharan,UC Riverside,2010,0.00%,NA,33.33%,0.00%,20.00%,66.67%,0.00%,12.50%
22807,B.J. Shearry,UC Riverside,2010,24.39%,50.00%,75.61%,29.03%,35.63%,0.00%,NA,0.00%
22807,B.J. Shearry,UC Riverside,2011,32.56%,42.86%,65.12%,17.86%,32.94%,2.33%,0.00%,50.00%
22808,Tony Williams,UC Santa Barbara,2010,NA,NA,NA,NA,NA,NA,NA,NA
22809,Troy Leaf,UC Santa Barbara,2010,17.65%,66.67%,41.18%,42.86%,31.82%,41.18%,14.29%,28.00%
22810,Kyle Boswell,UC Santa Barbara,2010,0.00%,NA,100.00%,33.33%,25.00%,0.00%,NA,0.00%
22810,Kyle Boswell,UC Santa Barbara,2011,0.00%,NA,13.95%,33.33%,28.57%,86.05%,37.84%,29.84%
22810,Kyle Boswell,UC Santa Barbara,2012,9.59%,71.43%,23.29%,29.41%,36.17%,67.12%,44.90%,26.34%
22810,Kyle Boswell,UC Santa Barbara,2013,14.75%,55.56%,13.11%,0.00%,38.10%,72.13%,43.18%,28.57%
22811,Frankie Eteuati,Cal State Northridge,2010,55.56%,60.00%,33.33%,33.33%,15.79%,11.11%,100.00%,25.00%
22811,Frankie Eteuati,Cal State Northridge,2011,9.09%,100.00%,63.64%,28.57%,29.17%,27.27%,33.33%,30.00%
22812,Josh Greene,Cal State Northridge,2010,6.45%,50.00%,45.16%,28.57%,28.57%,48.39%,26.67%,18.07%
22812,Josh Greene,Cal State Northridge,2011,18.87%,30.00%,41.51%,27.27%,21.57%,39.62%,33.33%,13.13%
22812,Josh Greene,Cal State Northridge,2012,20.59%,14.29%,30.88%,42.86%,21.43%,48.53%,39.39%,20.12%
22812,Josh Greene,Cal State Northridge,2013,20.83%,30.00%,33.33%,53.13%,28.83%,45.83%,31.82%,24.31%
22813,Stephan Hicks,Cal State Northridge,2011,30.23%,61.54%,46.51%,45.00%,14.71%,23.26%,30.00%,16.39%
22813,Stephan Hicks,Cal State Northridge,2012,24.53%,46.15%,52.83%,39.29%,23.33%,22.64%,41.67%,23.53%
22813,Stephan Hicks,Cal State Northridge,2013,29.63%,50.00%,60.49%,53.06%,26.63%,9.88%,50.00%,24.24%
22813,Stephan Hicks,Cal State Northridge,2014,28.99%,35.00%,47.83%,27.27%,23.57%,23.19%,56.25%,40.00%
22814,Thomas Jacobs,Cal State Northridge,2010,40.00%,100.00%,60.00%,0.00%,17.65%,0.00%,NA,0.00%
22814,Thomas Jacobs,Cal State Northridge,2011,0.00%,NA,100.00%,33.33%,18.75%,0.00%,NA,0.00%
22814,Thomas Jacobs,San Diego,2013,36.67%,36.36%,60.00%,33.33%,54.55%,3.33%,100.00%,100.00%
22814,Thomas Jacobs,San Diego,2014,45.95%,47.06%,37.84%,50.00%,26.92%,16.22%,0.00%,40.00%
22815,Allen Jiles IV,Cal State Northridge,2010,50.00%,33.33%,50.00%,16.67%,54.55%,0.00%,NA,0.00%
22815,Allen Jiles IV,Cal State Northridge,2011,85.71%,50.00%,14.29%,0.00%,11.11%,0.00%,NA,NA
22815,Allen Jiles IV,Idaho,2013,0.00%,NA,100.00%,100.00%,100.00%,0.00%,NA,0.00%
22816,Jordan Mitchell,Cal State Northridge,2010,33.33%,100.00%,66.67%,100.00%,66.67%,0.00%,NA,NA
22816,Jordan Mitchell,Cal State Northridge,2011,NA,NA,NA,NA,0.00%,NA,NA,NA
22816,Jordan Mitchell,Cal State Northridge,2012,NA,NA,NA,NA,NA,NA,NA,NA
22817,Aqeel Quinn,Cal State Northridge,2010,6.25%,50.00%,46.88%,26.67%,34.09%,46.88%,46.67%,40.54%
22817,Aqeel Quinn,Cal State Northridge,2011,16.28%,14.29%,34.88%,33.33%,29.41%,48.84%,23.81%,27.27%
22817,Aqeel Quinn,San Diego State,2013,10.87%,60.00%,34.78%,25.00%,38.10%,54.35%,40.00%,32.05%
22817,Aqeel Quinn,San Diego State,2014,17.53%,52.94%,39.18%,44.74%,38.00%,43.30%,38.10%,31.58%
22818,Lonnie Watson,Cal State Northridge,2011,0.00%,NA,100.00%,0.00%,100.00%,0.00%,NA,0.00%
22818,Lonnie Watson,Cal State Northridge,2012,0.00%,NA,22.22%,0.00%,22.22%,77.78%,57.14%,31.82%
22819,Wayne Simon II,American University,2010,NA,NA,NA,NA,0.00%,NA,NA,NA
22819,Wayne Simon II,American University,2011,18.18%,100.00%,45.45%,60.00%,50.00%,36.36%,25.00%,66.67%
22820,Tony Wroblicky,American University,2010,16.67%,100.00%,83.33%,40.00%,38.46%,0.00%,NA,NA
22820,Tony Wroblicky,American University,2011,45.45%,68.00%,54.55%,40.00%,38.96%,0.00%,NA,NA
22820,Tony Wroblicky,American University,2012,63.89%,71.74%,36.11%,26.92%,45.61%,0.00%,NA,NA
22820,Tony Wroblicky,American University,2013,63.11%,56.92%,36.89%,52.63%,45.78%,0.00%,NA,NA
22821,Chad Johnson,Colgate,2010,22.22%,50.00%,44.44%,12.50%,38.10%,33.33%,0.00%,75.00%
22821,Chad Johnson,Colgate,2011,0.00%,NA,25.00%,100.00%,50.00%,75.00%,33.33%,33.33%
22821,Chad Johnson,Colgate,2012,58.82%,50.00%,41.18%,42.86%,38.89%,0.00%,NA,0.00%
22821,Chad Johnson,Colgate,2013,19.35%,66.67%,16.13%,40.00%,45.45%,64.52%,15.00%,60.61%
22822,Pat Moore,Colgate,2010,6.67%,50.00%,30.00%,33.33%,17.65%,63.33%,42.11%,22.35%
22822,Pat Moore,Colgate,2011,16.98%,55.56%,26.42%,42.86%,35.90%,56.60%,53.33%,24.39%
22822,Pat Moore,Colgate,2012,17.19%,81.82%,25.00%,12.50%,38.10%,57.81%,27.03%,26.43%
22822,Pat Moore,Colgate,2013,0.00%,NA,20.00%,50.00%,100.00%,80.00%,50.00%,17.02%
22822,Pat Moore,Colgate,2014,6.90%,100.00%,20.69%,16.67%,100.00%,72.41%,23.81%,30.88%
22823,Jack Detmer,Lafayette,2010,NA,NA,NA,NA,NA,NA,NA,0.00%
22823,Jack Detmer,Lafayette,2011,0.00%,NA,100.00%,0.00%,100.00%,0.00%,NA,0.00%
22823,Jack Detmer,Lafayette,2012,50.00%,50.00%,25.00%,0.00%,33.33%,25.00%,0.00%,25.00%
22823,Jack Detmer,Lafayette,2013,NA,NA,NA,NA,NA,NA,NA,0.00%
22824,Les Smith,Lafayette,2010,25.00%,0.00%,0.00%,NA,0.00%,75.00%,0.00%,13.04%
22824,Les Smith,Lafayette,2011,13.04%,0.00%,21.74%,40.00%,35.71%,65.22%,33.33%,57.69%
22824,Les Smith,Lafayette,2012,9.09%,100.00%,36.36%,0.00%,28.57%,54.55%,33.33%,42.86%
22824,Les Smith,Lafayette,2013,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,100.00%
22825,Jake Kreuser,Lafayette,2010,33.33%,50.00%,66.67%,0.00%,50.00%,0.00%,NA,NA
22826,Anthony D'Orazio,Lehigh,2010,10.00%,0.00%,20.00%,100.00%,9.09%,70.00%,57.14%,18.42%
